Model,Accuracy,Precision,Recall,F1 Score,Training Time (seconds)
LSTM,0.863,0.8265563152213026,0.9188,0.8702405758666414,848.5485963821411
GRU,0.8611,0.8270240898387973,0.9132,0.8679783290561733,464.47806787490845
RNN,0.8583,0.8275735966355824,0.9052,0.8646480084057694,143.8303771018982
Transformer,0.5,0.5,1.0,0.6666666666666666,6670.504819393158
